business_id,name,latitude,longitude,google_place_id,google_name,google_rating,google_user_ratings_total,google_price_level,google_business_status,google_types,google_hours_per_week,google_photo_count,google_unique_photo_contributors,google_has_photos
ERl6OCSEIFBOqfjai_jIUg,La Parrilla Suiza,32.25642,-110.97746,ChIJuzT7irNv1oYRGCfXTNKG3bw,La Parrilla Suiza,4.0,2141.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",72.0,10,6,True
cXAKeC-EgVChIxhS7fscmw,Ghini's French Caffe,32.2735760993,-110.944434852,ChIJc7BJ9Sly1oYR2TQB_ylKKdI,Ghini's French Caffe,4.3,1340.0,2.0,OPERATIONAL,"bakery, establishment, food, point_of_interest, restaurant, store",48.0,10,9,True
yvW2NoOF4fv1r50A_jhjdw,Zoe Mediterranean,32.2593114,-110.7979812,ChIJ6yz_FNVx1oYRKKB5S0z75V4,Zayna Mediterranean Restaurant,4.7,1966.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",60.0,10,8,True
s8zQJgjBhlwE-qcGPKnGsQ,Subway,32.2080223001,-110.876083,ChIJ1RVOPHxh1oYRYyhGFYDEZx4,Subway,3.9,264.0,1.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",0.0,10,2,True
qLrTiIPDlnNX6FYTs29rmg,Buddy's Grill,32.250943,-110.890264,ChIJkyblHzBh1oYRiiD8yz7OZbw,Buddy's Grill,4.2,21.0,,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,1,1,True
7-cD0S7vJlUOuTpF2vQLOQ,Little Caesars Pizza,32.2510235,-110.9630046,ChIJg2uvt4x61oYRT2dd_JlPjUI,Little Caesars Pizza,3.1,786.0,1.0,OPERATIONAL,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",100.0,10,7,True
rViAhfKLKmwbhTKROM9m0w,Casino Del Sol,32.1311278367,-111.0866194535,ChIJVaAtBW541oYRO6Sc0kGuH-U,Casino Del Sol,4.3,15378.0,,OPERATIONAL,"casino, establishment, lodging, point_of_interest",0.0,10,8,True
LQcGL4hfJAeK6bk2ZdhmXw,Aqui Con El Nene,32.28682634,-110.9950735,ChIJyXPHrYtz1oYRiGBz73blYlo,Taqueria Aqui Con El Nene,4.5,2521.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",78.0,10,10,True
-v0JE4wW_4Xs6C3WT2XgDA,Burger King,32.251002044,-110.909460783,ChIJtft0KvN61oYRvsiO7cgjg4I,Burger King,3.6,727.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",0.0,10,6,True
3YERGr7UbpSpddqL0Eiu5g,Mariscos Chihuahua,32.3370125,-111.0542141,ChIJOZ4BPTFx1oYRPA0EIeW7Xk4,Mariscos Chihuahua on Grande,4.4,1551.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",54.0,10,8,True
